snomed_ct,abbreviation,full_name,chapman_count,scored_2021
164889003,AF,atrial fibrillation,1780,1
164890007,AFL,atrial flutter,445,1
6374002,BBB,bundle branch block,0,1
426627000,Brady,bradycardia,0,1
733534002,CLBBB,complete left bundle branch block,0,1
713427006,CRBBB,complete right bundle branch block,0,1
270492004,IAVB,1st degree av block,247,1
713426002,IRBBB,incomplete right bundle branch block,0,1
39732003,LAD,left axis deviation,382,1
445118002,LAnFB,left anterior fascicular block,0,1
164909002,LBBB,left bundle branch block,205,1
251146004,LQRSV,low qrs voltages,249,1
698252002,NSIVCB,nonspecific intraventricular conduction disorder,235,1
426783006,NSR,sinus rhythm,1826,1
284470004,PAC,premature atrial contraction,258,1
10370003,PR,pacing rhythm,0,1
365413008,PRWP,poor R wave progression,0,1
427172004,PVC,premature ventricular contractions,0,1
164947007,LPR,prolonged pr interval,12,1
111975006,LQT,prolonged qt interval,57,1
164917005,QAb,qwave abnormal,235,1
47665007,RAD,right axis deviation,215,1
59118001,RBBB,right bundle branch block,454,1
427393009,SA,sinus arrhythmia,0,1
426177001,SB,sinus bradycardia,3889,1
427084000,STach,sinus tachycardia,1568,1
63593006,SVPB,supraventricular premature beats,0,1
164934002,TAb,t wave abnormal,1876,1
59931005,TInv,t wave inversion,157,1
17338001,VPB,ventricular premature beats,294,1
233892002,AAR,accelerated atrial escape rhythm,0,0
164951009,abQRS,abnormal QRS,0,0
251187003,AED,atrial escape beat,0,0
61277005,AIVR,accelerated idioventricular rhythm,0,0
426664006,AJR,accelerated junctional rhythm,0,0
251139008,ALR,suspect arm ecg leads reversed,0,0
57054005,AMI,acute myocardial infarction,0,0
413444003,AMIs,acute myocardial ischemia,0,0
426434006,AnMIs,anterior ischemia,0,0
54329005,AnMI,anterior myocardial infarction,0,0
251173003,AB,atrial bigeminy,3,0
195080001,AFAFL,atrial fibrillation and flutter,0,0
195126007,AH,atrial hypertrophy,0,0
251268003,AP,atrial pacing pattern,0,0
106068003,ARH,atrial rhythm,0,0
713422000,ATach,atrial tachycardia,121,0
233917008,AVB,av block,166,0
50799005,AVD,atrioventricular dissociation,0,0
29320008,AVJR,atrioventricular junctional rhythm,0,0
251166008,AVNRT,atrioventricular node reentrant tachycardia,16,0
233897008,AVRT,atrioventricular reentrant tachycardia,8,0
251170000,BPAC,blocked premature atrial contraction,0,0
418818005,BRU,brugada,0,0
74615001,BTS,brady tachy syndrome,0,0
