method,class,lead,lead_index,mean_abs_attribution,ci95_low,ci95_high,rank_within_class,n_records
IntegratedGradients,NSR,I,0,0.002548556076362729,0.0022497158497571945,0.002877475693821907,2,46
IntegratedGradients,NSR,II,1,0.002442647237330675,0.0022146760020405054,0.002714005298912525,4,46
IntegratedGradients,NSR,III,2,0.002370277186855674,0.0021412470377981663,0.0026448331773281097,6,46
IntegratedGradients,NSR,aVR,3,0.0025656986981630325,0.002291796961799264,0.0028710400220006704,1,46
IntegratedGradients,NSR,aVL,4,0.0025015175342559814,0.0022131495643407106,0.0028195655904710293,3,46
IntegratedGradients,NSR,aVF,5,0.0023477000650018454,0.002128421328961849,0.0026118161622434855,8,46
IntegratedGradients,NSR,V1,6,0.0021219660993665457,0.0019062199862673879,0.0023675577249377966,12,46
IntegratedGradients,NSR,V2,7,0.002431323053315282,0.0021527872886508703,0.0027370380703359842,5,46
IntegratedGradients,NSR,V3,8,0.002348198089748621,0.0020605085883289576,0.0026862621307373047,7,46
IntegratedGradients,NSR,V4,9,0.0021353515330702066,0.0018711627926677465,0.002436769660562277,11,46
IntegratedGradients,NSR,V5,10,0.0022185896523296833,0.0019623320549726486,0.002501049544662237,10,46
IntegratedGradients,NSR,V6,11,0.0023441645316779613,0.00207954877987504,0.002635340206325054,9,46
IntegratedGradients,AFIB,I,0,0.0024161709006875753,0.0021848890464752913,0.0026476846542209387,5,39
IntegratedGradients,AFIB,II,1,0.002243328606709838,0.002066745888441801,0.0024101915769279003,7,39
IntegratedGradients,AFIB,III,2,0.002441076561808586,0.002248324453830719,0.0026442150119692087,4,39
IntegratedGradients,AFIB,aVR,3,0.0023481224197894335,0.002170795341953635,0.0025059294421225786,6,39
IntegratedGradients,AFIB,aVL,4,0.0024497397243976593,0.0022358582355082035,0.002663589781150222,2,39
IntegratedGradients,AFIB,aVF,5,0.002444574609398842,0.0022421889007091522,0.002659227466210723,3,39
IntegratedGradients,AFIB,V1,6,0.0027693361043930054,0.002562603447586298,0.003015201073139906,1,39
IntegratedGradients,AFIB,V2,7,0.002051521325483918,0.0018659806810319424,0.002247525379061699,10,39
