method,class,lead,lead_index,mean_abs_attribution,ci95_low,ci95_high,rank_within_class,n_records
GradientSHAP,NSR,I,0,0.0014548971084877849,0.0013681374257430434,0.0015381710836663842,2,46
GradientSHAP,NSR,II,1,0.0013895627344027162,0.001297429553233087,0.001483158441260457,7,46
GradientSHAP,NSR,III,2,0.001457710168324411,0.0013471543788909912,0.0015830476768314838,1,46
GradientSHAP,NSR,aVR,3,0.0014440391678363085,0.0013626799918711185,0.0015233189333230257,4,46
GradientSHAP,NSR,aVL,4,0.0014527459861710668,0.0013371406821534038,0.0015669891145080328,3,46
GradientSHAP,NSR,aVF,5,0.001392850885167718,0.0012969335075467825,0.001493335235863924,6,46
GradientSHAP,NSR,V1,6,0.0013558496721088886,0.0012646708637475967,0.001455698860809207,9,46
GradientSHAP,NSR,V2,7,0.0014279840979725122,0.0013366047060117126,0.0015228751581162214,5,46
GradientSHAP,NSR,V3,8,0.0013707359321415424,0.0012718418147414923,0.0014624767936766148,8,46
GradientSHAP,NSR,V4,9,0.0012221988290548325,0.0011212415993213654,0.0013173954794183373,12,46
GradientSHAP,NSR,V5,10,0.001252635382115841,0.0011598538840189576,0.0013391346437856555,11,46
GradientSHAP,NSR,V6,11,0.0013557795900851488,0.0012612068094313145,0.0014626564225181937,10,46
GradientSHAP,AFIB,I,0,0.0012883285526186228,0.0011717614252120256,0.0013959610369056463,5,39
GradientSHAP,AFIB,II,1,0.0012369330506771803,0.0011156111722812057,0.0013669144827872515,8,39
GradientSHAP,AFIB,III,2,0.0013225821312516928,0.0012135884026065469,0.0014421261148527265,3,39
GradientSHAP,AFIB,aVR,3,0.0012764271814376116,0.0011534689692780375,0.0013944392558187246,6,39
GradientSHAP,AFIB,aVL,4,0.0013616529759019613,0.0012574170250445604,0.0014661175664514303,2,39
GradientSHAP,AFIB,aVF,5,0.0013172535691410303,0.0011931830085814,0.001449773320928216,4,39
GradientSHAP,AFIB,V1,6,0.0014625875046476722,0.0013283580774441361,0.0016153337201103568,1,39
GradientSHAP,AFIB,V2,7,0.0012103891931474209,0.001115906867198646,0.0013033159775659442,9,39
GradientSHAP,AFIB,V3,8,0.0012669393327087164,0.0011698356829583645,0.0013652198249474168,7,39
GradientSHAP,AFIB,V4,9,0.0011505564907565713,0.0010429042158648372,0.001269088825210929,10,39
GradientSHAP,AFIB,V5,10,0.0010976736666634679,0.0009937732247635722,0.0012103422777727246,12,39
GradientSHAP,AFIB,V6,11,0.001132757868617773,0.0010168662993237376,0.0012450431240722537,11,39
GradientSHAP,SB,I,0,0.0011652343673631549,0.0011041279649361968,0.0012273220345377922,1,45
GradientSHAP,SB,II,1,0.0010702619329094887,0.0010164367267861962,0.0011241431348025799,6,45
GradientSHAP,SB,III,2,0.0009520136518403888,0.0008932705968618393,0.0010181438410654664,12,45
GradientSHAP,SB,aVR,3,0.0011141053400933743,0.0010590949095785618,0.0011750726262107491,4,45
GradientSHAP,SB,aVL,4,0.0011479429667815566,0.001063477830030024,0.001231442322023213,2,45
GradientSHAP,SB,aVF,5,0.0010245403973385692,0.000959591066930443,0.0010816340800374746,8,45
GradientSHAP,SB,V1,6,0.000958163698669523,0.0008876302163116634,0.0010262184077873826,11,45
GradientSHAP,SB,V2,7,0.0011378023773431778,0.001066486700437963,0.0012057170970365405,3,45
GradientSHAP,SB,V3,8,0.001103461836464703,0.0010366127826273441,0.0011745017254725099,5,45
GradientSHAP,SB,V4,9,0.0009653762099333107,0.00090408930554986,0.0010319811990484595,10,45
GradientSHAP,SB,V5,10,0.0009878880809992552,0.0009263418614864349,0.001047978294081986,9,45
GradientSHAP,SB,V6,11,0.001037551206536591,0.0009786472655832767,0.0010946636321023107,7,45
GradientSHAP,ST,I,0,0.0013021129416301847,0.0011919325916096568,0.0014300879556685686,1,41
GradientSHAP,ST,II,1,0.0012109342496842146,0.0010950163705274463,0.0013342313468456268,8,41
GradientSHAP,ST,III,2,0.001293783774599433,0.0011624036123976111,0.0014282792108133435,2,41
GradientSHAP,ST,aVR,3,0.0012516400311142206,0.0011420778464525938,0.0013702260330319405,4,41
GradientSHAP,ST,aVL,4,0.0012924314942210913,0.0011705204378813505,0.0014340701745823026,3,41
GradientSHAP,ST,aVF,5,0.0012431538198143244,0.0011163976741954684,0.0013763706665486097,5,41
GradientSHAP,ST,V1,6,0.0012079756706953049,0.0010856491280719638,0.0013490644050762057,9,41
GradientSHAP,ST,V2,7,0.0012294526677578688,0.0011335780145600438,0.0013399188173934817,6,41
GradientSHAP,ST,V3,8,0.001226231805048883,0.0011145202443003654,0.0013574640033766627,7,41
GradientSHAP,ST,V4,9,0.001082040835171938,0.0009787592571228743,0.00119896384421736,11,41
GradientSHAP,ST,V5,10,0.0010480490745976567,0.0009502687025815248,0.0011617918498814106,12,41
GradientSHAP,ST,V6,11,0.001145095331594348,0.0010442795464769006,0.0012619431363418698,10,41
GradientSHAP,SVT,I,0,0.0011288790265098214,0.0010559185175225139,0.0012034863466396928,8,35
GradientSHAP,SVT,II,1,0.0011355341412127018,0.0010476965690031648,0.0012276790803298354,7,35
GradientSHAP,SVT,III,2,0.0011252904077991843,0.00103809277061373,0.0012144367210566998,10,35
GradientSHAP,SVT,aVR,3,0.0012109391391277313,0.0011278005549684167,0.001295374589972198,1,35
GradientSHAP,SVT,aVL,4,0.001126302289776504,0.0010288398480042815,0.0012210133718326688,9,35
GradientSHAP,SVT,aVF,5,0.0011921151308342814,0.001102286740206182,0.0012871356448158622,3,35
GradientSHAP,SVT,V1,6,0.0011926190927624702,0.001102004200220108,0.0012820002157241106,2,35
GradientSHAP,SVT,V2,7,0.001148829236626625,0.0010609017917886376,0.0012463072780519724,5,35
GradientSHAP,SVT,V3,8,0.0011891355970874429,0.0011052082991227508,0.0012749390443786979,4,35
GradientSHAP,SVT,V4,9,0.001037930021993816,0.0009508411749266088,0.001128709758631885,12,35
GradientSHAP,SVT,V5,10,0.0010654209181666374,0.0009723853436298668,0.0011627876665443182,11,35
GradientSHAP,SVT,V6,11,0.0011358705814927816,0.0010542991803959012,0.001220372156240046,6,35
GradientSHAP,CD,I,0,0.0010413967538625002,0.0009625267121009529,0.0011254497803747654,6,36
GradientSHAP,CD,II,1,0.0010010629193857312,0.0009319163509644568,0.001073674764484167,10,36
GradientSHAP,CD,III,2,0.0010311085497960448,0.0009518578881397843,0.0011122140567749739,8,36
GradientSHAP,CD,aVR,3,0.001023196498863399,0.0009542490006424487,0.0011005763662979007,9,36
GradientSHAP,CD,aVL,4,0.0010574108455330133,0.0009816742967814207,0.0011433520121499896,4,36
GradientSHAP,CD,aVF,5,0.0010974922915920615,0.0010163219412788749,0.0011853871401399374,3,36
GradientSHAP,CD,V1,6,0.001211088034324348,0.0011312830029055476,0.001297325361520052,1,36
GradientSHAP,CD,V2,7,0.001053308486007154,0.0009997247252613306,0.0011111971689388156,5,36
GradientSHAP,CD,V3,8,0.0011193526443094015,0.0010514190653339028,0.0011945562437176704,2,36
GradientSHAP,CD,V4,9,0.0009321448160335422,0.0008566348114982247,0.0010136649943888187,12,36
GradientSHAP,CD,V5,10,0.0009567674715071917,0.0008872381295077503,0.0010357820428907871,11,36
GradientSHAP,CD,V6,11,0.001033095526508987,0.0009609201806597412,0.0011061039986088872,7,36
